# (F) stands for finished and (D) for duration:
process, i, MEAN, SD, CI lower limit, CI upper limit
FCFS
F, process1, 11.43553123333333333333, .34997576829876696794, 11.19301039909860386459, 11.67805206756806280207
D, process1, 10.43553123333333333333, .34997576829876696794, 10.19301039909860386459, 10.67805206756806280207
F, process2, 37.77933586666666666666, .59150003939423556238, 37.36944725151744817949, 38.18922448181588515383
D, process2, 34.57933500000000000000, .59149993988926152721, 34.16944645380421057685, 34.98922354619578942315
F, process3, 29.25117600000000000000, .56677405287280633120, 28.85842161933679469993, 29.64393038066320530007
D, process3, 26.25117600000000000000, .56677405287280633120, 25.85842161933679469993, 26.64393038066320530007
F, process4, 56.54974490000000000000, 1.19115607351604292890, 55.72431585370595902968, 57.37517394629404097032
D, process4, 51.54974490000000000000, 1.19115607351604292890, 50.72431585370595902968, 52.37517394629404097032
F, process5, 46.94277153333333333333, .84961987198973217570, 46.35401499987684298707, 47.53152806678982367959
D, process5, 42.94277153333333333333, .84961987198973217570, 42.35401499987684298707, 43.53152806678982367959
F, process6, 40.95097616666666666666, .81540374986375444201, 40.38593019615173852654, 41.51602213718159480678
D, process6, 36.95097616666666666666, .81540374986375444201, 36.38593019615173852654, 37.51602213718159480678
F, process7, 22.60823460000000000000, .44600570403845733775, 22.29916841538199594231, 22.91730078461800405769
D, process7, 20.60823460000000000000, .44600570403845733775, 20.29916841538199594231, 20.91730078461800405769
F, process8, 37.84274953333333333333, .75049277973700867724, 37.32268457022542414691, 38.36281449644124251975
D, process8, 35.84274953333333333333, .75049277973700867724, 35.32268457022542414691, 36.36281449644124251975
Context change, 0
Failed deadlines, 5, 8

SJF
F, process1, 11.57610056666666666666, .50827495564190341964, 11.22388399218181874721, 11.92831714115151458611
D, process1, 10.57610056666666666666, .50827495564190341964, 10.22388399218181874721, 10.92831714115151458611
F, process2, 30.28623943333333333333, .29812890810930354249, 30.07964664019334029217, 30.49283222647332637449
D, process2, 27.08623850000000000000, .29812874817095940928, 26.87964581769162491302, 27.29283118230837508698
F, process3, 21.25712943333333333333, .27612103988754440601, 21.06578731479522478645, 21.44847155187144188021
D, process3, 18.25712943333333333333, .27612103988754440601, 18.06578731479522478645, 18.44847155187144188021
F, process4, 46.91447473333333333333, .58576424516210349596, 46.50856082080120549122, 47.32038864586546117544
D, process4, 41.91447473333333333333, .58576424516210349596, 41.50856082080120549122, 42.32038864586546117544
F, process5, 33.19029430000000000000, .54547197281248404516, 32.81230150769554667518, 33.56828709230445332482
D, process5, 29.19029430000000000000, .54547197281248404516, 28.81230150769554667518, 29.56828709230445332482
